Klirosi,Date,Klirosi,tzoker1,tzoker2,tzoker3,tzoker4,tzoker5,tzoker

3084,31-12-2023,2695,5,15,29,39,40,17
3083,28-12-2023,2694,5,8,24,32,44,9
3082,26-12-2023,2693,8,11,12,41,43,14
3081,24-12-2023,2692,9,15,17,19,25,4
3080,21-12-2023,2691,3,8,12,32,33,6
3079,19-12-2023,2690,6,15,21,32,41,7
3078,17-12-2023,2689,7,22,25,33,44,20
3077,14-12-2023,2688,13,18,20,26,40,19
3076,12-12-2023,2687,5,18,19,28,33,17
3075,10-12-2023,2686,19,26,29,33,35,14
3074,7-12-2023,2685,25,26,33,34,44,7
3073,5-12-2023,2684,1,12,36,40,42,19
3072,3-12-2023,2683,30,35,39,40,42,18
3071,30-11-2023,2682,15,25,27,30,41,15
3070,28-11-2023,2681,1,11,20,23,42,8
3069,26-11-2023,2680,10,11,16,20,31,15
3068,23-11-2023,2679,2,9,10,23,44,19
3067,21-11-2023,2678,9,15,23,25,36,8
3066,19-11-2023,2677,13,16,39,41,42,8
3065,16-11-2023,2676,12,17,26,28,41,7
3064,14-11-2023,2675,3,14,20,22,35,8
3063,12-11-2023,2674,5,12,25,30,42,9
3062,9-11-2023,2673,1,10,17,18,19,16
3061,7-11-2023,2672,19,23,31,32,44,7
3060,5-11-2023,2671,2,7,13,23,34,18
3059,2-11-2023,2670,22,26,31,34,36,15
3058,31-10-2023,2669,2,11,12,36,43,14
3057,29-10-2023,2668,12,23,32,36,41,3
3056,26-10-2023,2667,1,6,8,25,34,14
3055,24-10-2023,2666,1,4,15,21,44,14
3054,22-10-2023,2665,9,38,39,41,45,19
3053,19-10-2023,2664,1,16,31,36,45,16
3052,17-10-2023,2663,12,33,35,39,40,2
3051,15-10-2023,2662,1,30,31,41,43,8
3050,12-10-2023,2661,8,10,30,37,44,4
3049,10-10-2023,2660,11,17,22,23,40,8
3048,8-10-2023,2659,1,12,15,20,40,12
3047,5-10-2023,2658,1,4,13,26,29,2
3046,3-10-2023,2657,4,6,8,16,19,5
3045,1-10-2023,2656,1,26,31,35,42,4
3044,28-9-2023,2655,7,8,10,28,30,17
3043,26-9-2023,2654,3,9,12,26,31,11
3042,24-9-2023,2653,1,8,11,36,41,4
3041,21-9-2023,2652,5,6,23,30,31,19
3040,19-9-2023,2651,9,12,40,43,44,8
3039,17-9-2023,2650,10,17,18,40,41,13
3038,14-9-2023,2649,2,6,14,17,21,2
3037,12-9-2023,2648,1,17,26,28,30,17
3036,10-9-2023,2647,15,37,43,44,45,5
3035,7-9-2023,2646,1,5,25,30,39,7
3034,5-9-2023,2645,1,9,15,24,32,14
3033,3-9-2023,2644,7,15,17,34,41,10
3032,31-8-2023,2643,16,19,29,35,39,15
3031,29-8-2023,2642,11,26,28,32,33,13
3030,27-8-2023,2641,7,8,14,17,26,8
